'y-axis saved as y
'x,216-1hr_Gd-Ru-Ge.xy,Ycalc,Diff
12.68822,864,806.084911,57.9150888
12.69853,839,805.600489,33.3995105
12.70883,870,805.121517,64.8784829
12.71914,856,804.647141,51.3528589
12.72945,811,804.17791,6.82208953
12.73976,864,803.71391,60.2860905
12.75007,860,803.255226,56.7447738
12.76037,851,802.802389,48.1976107
12.77068,924,802.354614,121.645386
12.78099,826,801.912442,24.0875578
12.7913,809,801.475977,7.52402274
12.80161,786,801.045327,-15.045327
12.81191,924,800.621013,123.378987
12.82222,843,800.202328,42.7976724
12.83253,814,799.789808,14.2101922
12.84284,809,799.383581,9.61641922
12.85315,779,798.983779,-19.983779
12.86345,836,798.590919,37.4090808
12.87376,830,798.204382,31.7956185
12.88407,844,797.824701,46.1752988
12.89438,814,797.452035,16.5479649
12.90468,855,797.086898,57.9131018
12.91499,835,796.728751,38.2712492
12.9253,843,796.37813,46.6218699
12.93561,859,796.035222,62.9647779
12.94592,849,795.700221,53.2997786
12.95622,845,795.373646,49.6263543
12.96653,820,795.055072,24.9449278
12.97684,878,794.745046,83.2549542
12.98715,830,794.4438,35.5561998
12.99746,821,794.151581,26.8484194
13.00776,807,793.868915,13.131085
13.01807,860,793.595522,66.4044775
13.02838,809,793.331967,15.6680331
13.03869,785,793.078547,-8.07854676
13.049,821,792.835576,28.1644236
13.0593,803,792.603608,10.396392
13.06961,853,792.382538,60.6174618
13.07992,784,792.172967,-8.17296735
13.09023,813,791.975285,21.0247147
13.10054,850,791.789904,58.2100957
13.11084,842,791.617423,50.3825766
13.12115,811,791.457968,19.5420321
13.13146,840,791.312203,48.6877966
13.14177,847,791.180652,55.8193484
13.15207,797,791.063974,5.93602589
13.16238,810,790.962531,19.0374692
13.17269,838,790.877072,47.1229283
13.183,804,790.808266,13.1917341
13.19331,826,790.756827,35.2431727
13.20361,882,790.723543,91.2764574
13.21392,832,790.709156,41.2908436
13.22423,769,790.71458,-21.7145802
13.23454,839,790.740743,48.2592574
13.24485,867,790.788635,76.2113646
13.25515,862,790.859241,71.1407589
13.26546,817,790.953825,26.0461755
13.27577,858,791.07354,66.9264598
13.28608,831,791.219679,39.7803205
13.29639,836,791.39362,44.6063805
13.30669,788,791.596618,-3.59661848
13.317,855,791.830624,63.1693759
13.32731,811,792.097113,18.9028868
13.33762,877,792.397841,84.6021586
13.34792,805,792.734323,12.2656772
13.35823,805,793.109157,11.8908426
13.36854,782,793.524093,-11.5240926
13.37885,861,793.981276,67.0187242
13.38916,844,794.482943,49.5170574
13.39946,840,795.030857,44.9691426
13.40977,787,795.628456,-8.62845583
13.42008,859,796.277668,62.7223318
13.43039,786,796.980962,-10.9809615
13.4407,811,797.740811,13.2591886
13.451,830,798.558854,31.4411456
13.46131,861,799.439066,61.5609344
13.47162,820,800.382989,19.6170108
13.48193,835,801.392788,33.6072121
13.49224,816,802.47043,13.5295696
13.50254,810,803.616493,6.38350698
13.51285,812,804.834587,7.16541345
13.52316,763,806.124651,-43.1246511
13.53347,825,807.487235,17.5127645
13.54377,817,808.920924,8.07907577
13.55408,866,810.427865,55.5721351
13.56439,838,812.005368,25.9946317
13.5747,847,813.651291,33.3487093
13.58501,802,815.362596,-13.3625959
13.59531,784,817.133526,-33.1335261
13.60562,790,818.962438,-28.9624381
13.61593,827,820.841436,6.15856376
13.62624,760,822.763107,-62.7631075
13.63655,812,824.718782,-12.7187819
13.64685,786,826.696564,-40.6965643
13.65716,830,828.689012,1.31098818
13.66747,836,830.6816,5.31839953
13.67778,760,832.660403,-72.6604032
13.68809,843,834.610221,8.38977946
13.69839,792,836.512819,-44.5128189
13.7087,825,838.35439,-13.3543895
13.71901,781,840.114526,-59.1145259
13.72932,747,841.773836,-94.7738357
13.73962,822,843.310794,-21.3107938
13.74993,815,844.707838,-29.7078378
13.76024,787,845.942531,-58.9425313
13.77055,792,846.993954,-54.993954
13.78086,806,847.841392,-41.8413917
13.79116,812,848.464095,-36.4640951
13.80147,798,848.843849,-50.8438493
13.81178,830,848.961483,-18.961483
13.82209,842,848.799901,-6.79990093
13.8324,763,848.343643,-85.3436432
13.8427,780,847.58004,-67.5800398
13.85301,847,846.496341,0.503658545
13.86332,818,845.084252,-27.0842515
13.87363,860,843.337631,16.6623689
13.88394,803,841.25328,-38.2532799
13.89424,809,838.833601,-29.833601
13.90455,802,836.077126,-34.0771261
13.91486,806,832.992511,-26.9925112
13.92517,830,829.589594,0.410406417
13.93548,831,825.881478,5.11852242
13.94578,811,821.888373,-10.8883732
13.95609,822,817.621672,4.3783283
13.9664,781,813.10679,-32.10679
13.97671,736,808.367663,-72.3676632
13.98701,735,803.434918,-68.4349178
13.99732,774,798.326151,-24.3261514
14.00763,775,793.07417,-18.0741697
14.01794,741,787.707629,-46.7076291
14.02825,792,782.255299,9.74470124
14.03855,762,776.751035,-14.7510351
14.04886,802,771.212003,30.7879967
14.05917,734,765.67044,-31.6704402
14.06948,776,760.15204,15.8479605
14.07979,754,754.681026,-0.6810257
14.09009,787,749.285157,37.7148434
14.1004,807,743.97464,63.0253599
14.11071,723,738.77351,-15.7735099
14.12102,766,733.698462,32.3015379
14.13133,795,728.764081,66.2359185
14.14163,829,723.987393,105.012607
14.15194,804,719.369416,84.6305839
14.16225,804,714.923123,89.0768765
14.17256,787,710.654744,76.3452562
14.18286,748,706.572467,41.4275328
14.19317,847,702.670819,144.329181
14.20348,767,698.95466,68.0453398
14.21379,772,695.423236,76.576764
14.2241,796,692.074391,103.925609
14.2344,820,688.90773,131.09227
14.24471,822,685.912596,136.087404
14.25502,761,683.086757,77.9132431
14.26533,795,680.424036,114.575964
14.27564,734,677.917635,56.0823647
14.28594,770,675.562511,94.4374894
14.29625,771,673.346454,97.6535464
14.30656,796,671.263996,124.736004
14.31687,778,669.307189,108.692811
14.32718,776,667.468073,108.531927
14.33748,739,665.740399,73.2596008
14.34779,733,664.113068,68.8869321
14.3581,747,662.580295,84.4197048
14.36841,766,661.134823,104.865177
14.37871,739,659.770988,79.2290116
14.38902,776,658.479517,117.520483
14.39933,714,657.255511,56.7444891
14.40964,792,656.093075,135.906925
14.41995,778,654.986689,123.013311
14.43025,774,653.932214,120.067786
14.44056,741,652.922828,88.0771722
14.45087,789,651.955173,137.044827
14.46118,749,651.025192,97.9748081
14.47149,740,650.129165,89.8708347
14.48179,744,649.264521,94.7354794
14.4921,749,648.426479,100.573521
14.50241,772,647.613084,124.386916
14.51272,820,646.821784,173.178216
14.52303,766,646.050279,119.949721
14.53333,713,645.297215,67.7027855
14.54364,761,644.559263,116.440737
14.55395,701,643.835488,57.1645117
14.56426,747,643.124392,103.875608
14.57456,758,642.425307,115.574693
14.58487,808,641.735681,166.264319
14.59518,724,641.055133,82.9448673
14.60549,749,640.382717,108.617283
14.6158,782,639.717593,142.282407
14.6261,718,639.059654,78.9403459
14.63641,756,638.406964,117.593036
14.64672,746,637.759585,108.240415
14.65703,774,637.117003,136.882997
14.66734,740,636.478768,103.521232
14.67764,717,635.845097,81.1549033
14.68795,755,635.214411,119.785589
14.69826,756,634.587022,121.412978
14.70857,755,633.962664,121.037336
14.71888,695,633.341102,61.6588978
14.72918,736,632.722732,103.277268
14.73949,752,632.106176,119.893824
14.7498,757,631.491879,125.508121
14.76011,711,630.879707,80.1202929
14.77042,722,630.269543,91.7304567
14.78072,726,629.661875,96.3381254
14.79103,766,629.055433,136.944567
14.80134,693,628.450732,64.5492682
14.81165,669,627.847705,41.1522948
14.82195,780,627.246878,152.753122
14.83226,717,626.647033,90.3529667
14.84257,661,626.048712,34.9512881
14.85288,725,625.451876,99.5481238
14.86319,698,624.856493,73.1435067
14.87349,668,624.26311,43.7368896
14.8838,762,623.67055,138.32945
14.89411,681,623.079369,57.9206314
14.90442,692,622.489546,69.5104537
14.91473,758,621.901067,136.098933
14.92503,721,621.314485,99.6855152
14.93534,692,620.728649,71.2713514
14.94565,708,620.144117,87.8558829
14.95596,695,619.560881,75.4391192
14.96627,719,618.978931,100.021069
14.97657,709,618.398823,90.6011771
14.98688,737,617.819423,119.180577
14.99719,687,617.24129,69.7587104
15.0075,724,616.664417,107.335583
15.0178,659,616.089359,42.9106409
15.02811,704,615.514995,88.4850054
15.03842,750,614.941879,135.058121
15.04873,746,614.37001,131.62999
15.05904,717,613.799383,103.200617
15.06934,738,613.23055,124.76945
15.07965,723,612.662403,110.337597
